player_id,full_name,first_name,last_name,team_id,team_name,season,games_played,pts_per_game,reb_per_game,ast_per_game,fgm_per_game,fga_per_game,fg3m_per_game,fg3a_per_game,ftm_per_game,fta_per_game,plus_minus_avg,fg_pts_per_fga
203932,Aaron Gordon,Aaron,Gordon,,,2021-22,75,15.01,5.85,2.51,5.79,11.12,1.16,3.47,2.28,3.07,4.32,1.35
203932,Aaron Gordon,Aaron,Gordon,,,2022-23,68,16.31,6.56,2.99,6.31,11.19,0.88,2.54,2.81,4.62,7.6,1.46
203932,Aaron Gordon,Aaron,Gordon,,,2023-24,73,13.88,6.45,3.55,5.45,9.81,0.55,1.89,2.42,3.68,5.78,1.41
203952,Andrew Wiggins,Andrew,Wiggins,,,2021-22,73,17.21,4.45,2.21,6.51,13.96,2.15,5.47,2.04,3.22,3.56,1.23
203952,Andrew Wiggins,Andrew,Wiggins,,,2022-23,37,17.11,5.03,2.3,6.76,14.3,2.41,6.08,1.19,1.95,3.16,1.2
203952,Andrew Wiggins,Andrew,Wiggins,,,2023-24,71,13.23,4.52,1.68,4.97,10.99,1.28,3.58,2.0,2.66,-0.82,1.2
1630162,Anthony Edwards,Anthony,Edwards,,,2021-22,72,21.29,4.76,3.82,7.62,17.29,2.99,8.36,3.06,3.89,2.6,1.23
1630162,Anthony Edwards,Anthony,Edwards,,,2022-23,79,24.63,5.8,4.43,8.95,19.51,2.7,7.32,4.04,5.34,1.23,1.26
1630162,Anthony Edwards,Anthony,Edwards,,,2023-24,79,25.94,5.44,5.13,9.09,19.72,2.41,6.73,5.35,6.41,5.44,1.32
1626171,Bobby Portis,Bobby,Portis,,,2021-22,72,14.61,9.12,1.19,5.79,12.1,1.85,4.69,1.18,1.57,4.28,1.21
1626171,Bobby Portis,Bobby,Portis,,,2022-23,70,14.1,9.6,1.5,5.69,11.47,1.36,3.67,1.37,1.79,0.21,1.23
1626171,Bobby Portis,Bobby,Portis,,,2023-24,82,13.78,7.4,1.27,5.68,11.2,1.22,3.0,1.2,1.51,-0.05,1.23
201572,Brook Lopez,Brook,Lopez,,,2021-22,13,12.38,4.08,0.46,4.69,10.08,1.46,4.08,1.54,1.77,-0.54,1.23
201572,Brook Lopez,Brook,Lopez,,,2022-23,78,15.88,6.67,1.27,6.12,11.53,1.74,4.67,1.91,2.44,5.1,1.38
